"URI","Label","Definition","Notation","Status","AcceptedDate","skos:altLabel@bg","hasProtectionTarget","hasProtectionTarget","mandatoryUnit","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","skos:scopeNote","recommendedUnit","recommendedUnit","skos:altLabel","skos:relatedMatch","skos:relatedMatch","skos:altLabel@en","skos:altLabel@es"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1045","Ammonium in PM2.5 (aerosol)","NH4+ in PM2.5 - recommended unit: µg/m3","NH4+ in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"NH4+ in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1046","Nitrate in PM2.5 (aerosol)","NO3- in PM2.5 - recommended unit: µg/m3","NO3- in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"NO3- in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1047","sulphate in PM2.5 (aerosol)","SO42- in PM2.5 - recommended unit: µg/m3","SO42- in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"SO42- in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1048","Selenium in PM2.5 (aerosol)","Se in PM2.5 - recommended unit: ng/m3","Se in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Se in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1049","Vanedium in PM2.5 (aerosol)","V in PM2.5 - recommended unit: ng/m3","V in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"V in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1063","Zinc in PM2.5 (aerosol)","Zn in PM2.5 - recommended unit: ng/m3","Zn in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Zn in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1064","Cobalt in PM2.5 (aerosol)","Co in PM2.5 - recommended unit: ng/m3","Co in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Co in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1065","Iron in PM2.5 (aerosol)","Fe in PM2.5 - recommended unit: ng/m3","Fe in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Fe in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1073","Copper in PM2.5 (aerosol)","Cu in PM2.5 - recommended unit: ng/m3","Cu in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cu in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/11","Hydrogen sulphide (air)","H2S - recommended unit: µg/m3","H2S","valid","2013-09-20",,,,,"http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API101A","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"H2S",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1129","Benzo(a)pyrene in PM2.5 (air+aerosol)","BaP in PM2.5 - recommended unit: ng/m3","BaP in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"BaP in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/12","Lead (aerosol)","Pb - recommended unit: µg/m3","Pb","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Pb",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/13","Mercury (aerosol)","Hg - recommended unit: ng/m3","Hg","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Hg",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/14","Cadmium (aerosol)","Cd - recommended unit: ng/m3","Cd","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cd",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1419","Dibenzo(ah)anthracene in PM2.5 (aerosol)","Dibenzo(ah)anthracene in PM2.5 - recommended unit: ng/m3","Dibenzo(ah)anthracene in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Dibenzo(ah)anthracene in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/15","Nickel (aerosol)","Ni - recommended unit: ng/m3","Ni","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Ni",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/16","Chromium (aerosol)","Cr - recommended unit: ng/m3","Cr","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cr",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1610","Benzo(a)anthracene in PM2.5 (aerosol)","Benzo(a)anthracene in PM2.5 - recommended unit: ng/m3","Benzo(a)anthracene in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(a)anthracene in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1617","Benzo(b)fluoranthene in PM2.5 (air+aerosol)","Benzo(b)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(b)fluoranthene in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(b)fluoranthene in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1626","Benzo(k)fluoranthene in PM2.5 (aerosol)","Benzo(k)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(k)fluoranthene in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(k)fluoranthene in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1629","calcium in PM2.5 (aerosol)","Ca2+ in PM2.5 - recommended unit: µg/m3","Ca2+ in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Ca2+ in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1631","chloride in PM2.5 (aerosol)","Cl- in PM2.5 - recommended unit: µg/m3","Cl- in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Cl- in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1655","indeno_123cd_pyrene in PM2.5 (aerosol)","Indeno-(1,2,3-cd)pyrene in PM2.5 - recommended unit: ng/m3","Indeno-(1,2,3-cd)pyrene in PM2.5","valid","2013-09-20","Indeno-(1,2,3-cd)pyrene in PM2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,,,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1657","potassium in PM2.5 (aerosol)","K+ in PM2.5 - recommended unit: µg/m3","K+ in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"K+ in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1659","magnesium in PM2.5 (aerosol)","Mg2+ in PM2.5 - recommended unit: µg/m3","Mg2+ in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Mg2+ in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1668","sodium in PM2.5 (aerosol)","Na+ in PM2.5 - recommended unit: µg/m3","Na+  in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Na+  in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/17","Manganese (aerosol)","Mn - recommended unit: ng/m3","Mn","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reciprocal exchange","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Mn",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1759","Benzo(j)fluoranthene in PM2.5 (aerosol)","Benzo(j)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(j)fluoranthene in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(j)fluoranthene in PM2.5",,,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1771","Elemental carbon in PM2.5 (aerosol)","EC in PM2.5 - recommended unit: µg/m3","EC in PM2.5","valid","2013-09-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011/850/EU","http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"EC in PM2.5",,,,
