Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA21.64523.6001.1, Austria, AT2KA21, 14.318100000, 46.6256, 445.0, urban, traffic, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA41.894.7.1, Austria, AT2KA41, 14.289300000, 46.6294, 550.0, suburban, background, 
SPO.02.KA61.63374.8.1, Austria, AT2KA61, 14.266100000, 46.6525, 455.0, suburban, traffic, 
