Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO-AL0205A_00007_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0205A_00008_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0205A_00009_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0205A_00010_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0205A_00020_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0205A_06001_100, Albania, AL0205A, 19.449200000, 41.3199, 1.0, urban, traffic, 
SPO-AL0206A_00001_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00005_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00007_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00008_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00009_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00010_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_00020_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0206A_06001_100, Albania, AL0206A, 19.523400000, 42.3139, 13.0, urban, background, 
SPO-AL0207A_00001_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00005_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00005_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00007_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00008_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00009_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00010_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0207A_00020_100, Albania, AL0207A, 20.081700000, 41.1110, 150.0, urban, traffic, 
SPO-AL0208A_00001_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00005_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00007_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00008_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00009_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00010_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_00020_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0208A_06001_100, Albania, AL0208A, 19.555200000, 40.7258, 64.0, urban, traffic, 
SPO-AL0201A_00001_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00001_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00005_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00007_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00008_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00009_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00010_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00020_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_00038_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0201A_06001_100, Albania, AL0201A, 19.821800000, 41.3303, 162.0, urban, traffic, 
SPO-AL0202A_00001_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00005_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00007_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00008_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00009_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00010_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00020_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_00038_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO-AL0202A_06001_100, Albania, AL0202A, 19.851700000, 41.3456, 207.0, suburban, background, 
SPO.01.0001.1556.38.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1556.38.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1556.38.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1556.38.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1557.8.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1557.8.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1557.8.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.1557.8.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3811.1.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3811.1.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3812.10.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3812.10.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
